portfolio,account,date,ticker,position
资产配置,IB-YYX,18/1/2022,82822.HK,48000
资产配置,Binance-CWQ,18/1/2022,BTC-AUD,0.939
资产配置,Binance-CWQ,18/1/2022,ETH-AUD,7.705
资产配置,IB-YYX,18/1/2022,GLD,430
资产配置,IB-YYX,18/1/2022,QQQ,470
资产配置,IB-YYX,18/1/2022,SHY,1270
资产配置,IB-YYX,18/1/2022,SPLV,1000
资产配置,IB-YYX,18/1/2022,TIP,400
资产配置,IB-YYX,18/1/2022,TLT,400
价值投资,IB-YYX,18/1/2022,0700.HK,200
价值投资,IB-YYX,18/1/2022,0941.HK,1000
价值投资,IB-YYX,18/1/2022,2318.HK,1000
价值投资,IB-YYX,18/1/2022,AAPL,36
价值投资,IB-YYX,18/1/2022,ADBE,4
价值投资,IB-YYX,18/1/2022,ADSK,15
价值投资,IB-YYX,18/1/2022,AMZN,2
价值投资,IB-YYX,18/1/2022,ASML,5
价值投资,IB-YYX,18/1/2022,BRK-B,22
价值投资,IB-YYX,18/1/2022,FB,19
价值投资,IB-YYX,18/1/2022,GOOG,2
价值投资,IB-YYX,18/1/2022,GS,22
价值投资,IB-YYX,18/1/2022,ISRG,6
价值投资,IB-YYX,18/1/2022,KO,110
价值投资,IB-YYX,18/1/2022,LVMUY,39
价值投资,IB-YYX,18/1/2022,MCO,11
价值投资,IB-YYX,18/1/2022,MO,135
价值投资,IB-YYX,18/1/2022,MSFT,13
价值投资,IB-YYX,18/1/2022,NTD.AX,2000
价值投资,IB-YYX,18/1/2022,NVDA,7
价值投资,IB-YYX,18/1/2022,PFE,100
价值投资,IB-YYX,18/1/2022,TSM,50
趋势跟随,IB-YYX,18/1/2022,ABNB,12
趋势跟随,IB-YYX,18/1/2022,ARKK,10
趋势跟随,IB-YYX,18/1/2022,ATVI,18
趋势跟随,IB-YYX,18/1/2022,BA,5
趋势跟随,IB-YYX,18/1/2022,BABA,8
趋势跟随,IB-YYX,18/1/2022,BIDU,10
趋势跟随,IB-YYX,18/1/2022,COIN,10
趋势跟随,IB-YYX,18/1/2022,DIS,7
趋势跟随,IB-YYX,18/1/2022,KWEB,300
趋势跟随,IB-YYX,18/1/2022,META,70
趋势跟随,IB-YYX,18/1/2022,RMD.AX,100
趋势跟随,IB-YYX,18/1/2022,TAL,400