ticker,refreshed_at,close,1d_chg_pct,1w_chg_pct,1m_chg_pct,1y_chg_pct
0700.HK,2021-12-20,430.0,-1.82648401826484,-7.843978916578898,-13.025888893916171,-24.620229381710235
1024.HK,2021-12-20,78.1500015258789,-4.0515599091554,-9.913542909649674,-16.550987450562705,-73.9499994913737
1177.HK,2021-12-20,5.360000133514404,-0.9242091554147236,-4.795736686291807,-6.620203009689929,-30.006316454625825
1358.HK,2021-12-20,1.0099999904632568,-3.8095203494807772,-2.884612739438741,-9.821429806856475,460.8675994055362
1565.HK,2021-12-20,0.46000000834465027,0.0,0.0,0.8772013526072486,-78.71383774951704
1801.HK,2021-12-20,51.20000076293945,-5.0973122541438265,-18.145481394980223,-32.72010277325991,-22.716979980468754
1810.HK,2021-12-20,17.6200008392334,-3.293076271859796,-8.419952968588918,-15.69377435006638,-39.86347679850287
1877.HK,2021-12-20,40.900001525878906,1.1124864139724577,-9.513272487787694,-13.347455794973605,-17.54031696751247
1918.HK,2021-12-20,10.479999542236328,-17.739405568949085,-26.093093676372714,-28.317376030980977,-58.04144677619725
2202.HK,2021-12-20,18.260000228881836,-0.32750800732455065,-2.975555127646423,-3.1813380808715763,-23.602817602755355
2269.HK,2021-12-20,85.1500015258789,-4.4868198895530735,-13.28920145409117,-19.44181269222357,-6.0672916794489495
2822.HK,2021-12-20,18.200000762939453,-1.0331627678896615,-4.210522300318664,0.38610924110982214,-4.210522300318664
3690.HK,2021-12-20,219.1999969482422,-2.922943319005522,-11.612904456353956,-20.00000111378022,-21.264367186104938
3759.HK,2021-12-20,120.4000015258789,-6.230523949288525,-15.92178485213519,-22.67180225706601,-2.081714657647382
600519.SS,2021-12-20,2058.9599609375,0.4027897772614031,-2.7967137947293885,11.038842199368283,12.800491729089703
600900.SS,2021-12-20,21.75,-0.7302594638356807,4.266535779518543,8.804403446891019,15.054032170594445
6160.HK,2021-12-20,157.10000610351562,0.1274775110336801,-11.192757759254079,-28.785130663234384,0.8344050232951261
9618.HK,2021-12-20,269.0,-3.997149078907214,-13.393433768849095,-25.111361119621257,-14.167196796803271
9888.HK,2021-12-20,135.60000610351562,-1.6678664936673249,-6.611564081608456,-8.44024273116034,-46.19047376844618
9926.HK,2021-12-20,35.04999923706055,-3.310346932246766,-13.77614287481206,-31.676413726455866,3.698224935547989
9988.HK,2021-12-20,114.5,-2.1367521367521403,-5.450040096847319,-16.48432173405724,-54.2
ARKK,2021-12-20,94.7300033569336,-2.5411457498541234,0.24338979569693553,-12.68319179443096,-26.7202556482549
BABA,2021-12-20,115.0,-5.814904637878371,-5.922773225043865,-15.824912816489768,-55.84225963437027
BGNE,2021-12-20,273.79998779296875,0.032880180008110216,-3.2337953770320116,-22.788415695197706,4.735664344480894
BIDU,2021-12-20,137.55999755859375,-3.1881194285659054,-4.835700688751432,-6.934578289223481,-28.7549221804136
BITO,2021-12-20,29.780000686645508,1.672925079556431,0.7442531281389275,-16.55925516242712,-31.192233071663424
COIN,2021-12-20,238.0500030517578,-2.1779342177223215,-5.2989586363400125,-24.543554341997876,-27.485681754312672
CVAC,2021-12-20,38.79999923706055,-5.481120686522855,0.8578060979624436,-5.848094882196109,-65.13926489380472
DAO,2021-12-20,10.520000457763672,-2.592590074316836,-8.362361696450439,-33.12141917412893,-59.22480322149715
DRIV,2021-12-20,28.6299991607666,-2.4199079349993324,-4.3434718715467895,-9.855167020020616,23.440207256084665
EDU,2021-12-20,2.049999952316284,-5.092598571453333,-6.818186005284876,-11.637930547227171,-87.90774459190747
EWJ,2021-12-20,66.63999938964844,-0.848087639620132,-0.3737479477966432,-2.924316393822868,3.2862591773082928
EWZ,2021-12-20,27.489999771118164,-2.8278583192625106,-3.204224857870619,0.7908690503347415,-18.509113636564102
FB,2021-12-20,325.45001220703125,-2.4985757884865567,-2.7026154119020096,-4.562915196914041,19.30422743230258
FEX,2021-12-20,88.41999816894531,-1.3940002515054117,-2.027702859894387,-3.6399344916388077,21.57452703534828
GLD,2021-12-20,167.08999633789062,-0.42312675861405635,0.05389002268900711,-0.9778411174345303,-4.997730441717119
GOTU,2021-12-20,1.9299999475479126,-4.4554472390302085,-13.839288422723806,-33.904113112302994,-96.5036233317524
IH,2021-12-20,2.7200000286102295,1.1152405483875416,-3.886922192979203,-45.16129016752174,-88.2556129251695
JMIA,2021-12-20,11.729999542236328,-6.459333509415788,-5.858751955663788,-7.92778843820332,-71.91091950741806
KWEB,2021-12-20,37.40999984741211,-5.506441770077341,-10.566583289893995,-20.539510636263604,-51.247442764455144
LAIX,2021-12-20,0.6524999737739563,-5.434786082816423,-9.375007243619738,-19.444447919337993,-53.72340501982721
MRNA,2021-12-20,276.3800048828125,-6.248298396502028,1.6140353711747268,-2.232126182071703,99.8409246450842
PDD,2021-12-20,54.779998779296875,-5.6493326152469265,-11.085865546813721,-31.11166864709204,-62.70170858548205
SCO,2021-12-20,15.15999984741211,3.1292520007860425,6.4606747969189415,9.300648684187273,-68.2313506713931
SMSN.IL,2021-12-20,1596.0,-1.9656019656019708,-0.6845052893590498,0.7575757575757569,1.612566278364147
SPCE,2021-12-20,13.930000305175781,-3.665281684460564,-5.941931731989058,-18.442620799770935,-43.830642202766235
TCOM,2021-12-20,21.739999771118164,-4.899391116928642,-13.317385018932415,-25.624358154010153,-35.2976167904816
TME,2021-12-20,6.019999980926514,-4.4444476401783835,-6.376358605876431,-21.10091886456512,-67.9787222062262
WE,2021-12-20,8.09000015258789,0.9987505795267859,2.14646558909497,-13.752664670728699,-31.324275585977425
WISH,2021-12-20,3.0899999141693115,-4.334368547289769,-9.384169020729615,-24.63414668185878,-86.65226796938718
